Opcode,Mnemonic,Length,Cycles,Cycles2,Flags1,Flags2,Flags3,Flags4,Operand1,Operand2
0x0,NOP,1,4,,-,-,-,-,,
0x1,LD,3,12,,-,-,-,-,BC,d16
0x2,LD,1,8,,-,-,-,-,(BC),A
0x3,INC,1,8,,-,-,-,-,BC,
0x4,INC,1,4,,Z,0,H,-,B,
0x5,DEC,1,4,,Z,1,H,-,B,
0x6,LD,2,8,,-,-,-,-,B,d8
0x7,RLCA,1,4,,0,0,0,C,,
0x8,LD,3,20,,-,-,-,-,(a16),SP
0x9,ADD,1,8,,-,0,H,C,HL,BC
0xa,LD,1,8,,-,-,-,-,A,(BC)
0xb,DEC,1,8,,-,-,-,-,BC,
0xc,INC,1,4,,Z,0,H,-,C,
0xd,DEC,1,4,,Z,1,H,-,C,
0xe,LD,2,8,,-,-,-,-,C,d8
0xf,RRCA,1,4,,0,0,0,C,,
0x10,STOP,1,4,,-,-,-,-,0,
0x11,LD,3,12,,-,-,-,-,DE,d16
0x12,LD,1,8,,-,-,-,-,(DE),A
0x13,INC,1,8,,-,-,-,-,DE,
0x14,INC,1,4,,Z,0,H,-,D,
0x15,DEC,1,4,,Z,1,H,-,D,
0x16,LD,2,8,,-,-,-,-,D,d8
0x17,RLA,1,4,,0,0,0,C,,
0x18,JR,2,12,,-,-,-,-,r8,
0x19,ADD,1,8,,-,0,H,C,HL,DE
0x1a,LD,1,8,,-,-,-,-,A,(DE)
0x1b,DEC,1,8,,-,-,-,-,DE,
0x1c,INC,1,4,,Z,0,H,-,E,
0x1d,DEC,1,4,,Z,1,H,-,E,
0x1e,LD,2,8,,-,-,-,-,E,d8
0x1f,RRA,1,4,,0,0,0,C,,
0x20,JR,2,12,8,-,-,-,-,NZ,r8
0x21,LD,3,12,,-,-,-,-,HL,d16
0x22,LD,1,8,,-,-,-,-,(HL+),A
0x23,INC,1,8,,-,-,-,-,HL,
0x24,INC,1,4,,Z,0,H,-,H,
0x25,DEC,1,4,,Z,1,H,-,H,
0x26,LD,2,8,,-,-,-,-,H,d8
0x27,DAA,1,4,,Z,-,0,C,,
0x28,JR,2,12,8,-,-,-,-,Z,r8
0x29,ADD,1,8,,-,0,H,C,HL,HL
0x2a,LD,1,8,,-,-,-,-,A,(HL+)
0x2b,DEC,1,8,,-,-,-,-,HL,
0x2c,INC,1,4,,Z,0,H,-,L,
0x2d,DEC,1,4,,Z,1,H,-,L,
0x2e,LD,2,8,,-,-,-,-,L,d8
0x2f,CPL,1,4,,-,1,1,-,,
0x30,JR,2,12,8,-,-,-,-,NC,r8
0x31,LD,3,12,,-,-,-,-,SP,d16
0x32,LD,1,8,,-,-,-,-,(HL-),A
0x33,INC,1,8,,-,-,-,-,SP,
0x34,INC,1,12,,Z,0,H,-,(HL),
0x35,DEC,1,12,,Z,1,H,-,(HL),
0x36,LD,2,12,,-,-,-,-,(HL),d8
0x37,SCF,1,4,,-,0,0,1,,
0x38,JR,2,12,8,-,-,-,-,C,r8
0x39,ADD,1,8,,-,0,H,C,HL,SP
0x3a,LD,1,8,,-,-,-,-,A,(HL-)
0x3b,DEC,1,8,,-,-,-,-,SP,
0x3c,INC,1,4,,Z,0,H,-,A,
0x3d,DEC,1,4,,Z,1,H,-,A,
0x3e,LD,2,8,,-,-,-,-,A,d8
0x3f,CCF,1,4,,-,0,0,C,,
0x40,LD,1,4,,-,-,-,-,B,B
0x41,LD,1,4,,-,-,-,-,B,C
0x42,LD,1,4,,-,-,-,-,B,D
0x43,LD,1,4,,-,-,-,-,B,E
0x44,LD,1,4,,-,-,-,-,B,H
0x45,LD,1,4,,-,-,-,-,B,L
0x46,LD,1,8,,-,-,-,-,B,(HL)
0x47,LD,1,4,,-,-,-,-,B,A
0x48,LD,1,4,,-,-,-,-,C,B
0x49,LD,1,4,,-,-,-,-,C,C
0x4a,LD,1,4,,-,-,-,-,C,D
0x4b,LD,1,4,,-,-,-,-,C,E
0x4c,LD,1,4,,-,-,-,-,C,H
0x4d,LD,1,4,,-,-,-,-,C,L
0x4e,LD,1,8,,-,-,-,-,C,(HL)
0x4f,LD,1,4,,-,-,-,-,C,A
0x50,LD,1,4,,-,-,-,-,D,B
0x51,LD,1,4,,-,-,-,-,D,C
0x52,LD,1,4,,-,-,-,-,D,D
0x53,LD,1,4,,-,-,-,-,D,E
0x54,LD,1,4,,-,-,-,-,D,H
0x55,LD,1,4,,-,-,-,-,D,L
0x56,LD,1,8,,-,-,-,-,D,(HL)
0x57,LD,1,4,,-,-,-,-,D,A
0x58,LD,1,4,,-,-,-,-,E,B
0x59,LD,1,4,,-,-,-,-,E,C
0x5a,LD,1,4,,-,-,-,-,E,D
0x5b,LD,1,4,,-,-,-,-,E,E
0x5c,LD,1,4,,-,-,-,-,E,H
0x5d,LD,1,4,,-,-,-,-,E,L
0x5e,LD,1,8,,-,-,-,-,E,(HL)
0x5f,LD,1,4,,-,-,-,-,E,A
0x60,LD,1,4,,-,-,-,-,H,B
0x61,LD,1,4,,-,-,-,-,H,C
0x62,LD,1,4,,-,-,-,-,H,D
0x63,LD,1,4,,-,-,-,-,H,E
0x64,LD,1,4,,-,-,-,-,H,H
0x65,LD,1,4,,-,-,-,-,H,L
0x66,LD,1,8,,-,-,-,-,H,(HL)
0x67,LD,1,4,,-,-,-,-,H,A
0x68,LD,1,4,,-,-,-,-,L,B
0x69,LD,1,4,,-,-,-,-,L,C
0x6a,LD,1,4,,-,-,-,-,L,D
0x6b,LD,1,4,,-,-,-,-,L,E
0x6c,LD,1,4,,-,-,-,-,L,H
0x6d,LD,1,4,,-,-,-,-,L,L
0x6e,LD,1,8,,-,-,-,-,L,(HL)
0x6f,LD,1,4,,-,-,-,-,L,A
0x70,LD,1,8,,-,-,-,-,(HL),B
0x71,LD,1,8,,-,-,-,-,(HL),C
0x72,LD,1,8,,-,-,-,-,(HL),D
0x73,LD,1,8,,-,-,-,-,(HL),E
0x74,LD,1,8,,-,-,-,-,(HL),H
0x75,LD,1,8,,-,-,-,-,(HL),L
0x76,HALT,1,4,,-,-,-,-,,
0x77,LD,1,8,,-,-,-,-,(HL),A
0x78,LD,1,4,,-,-,-,-,A,B
0x79,LD,1,4,,-,-,-,-,A,C
0x7a,LD,1,4,,-,-,-,-,A,D
0x7b,LD,1,4,,-,-,-,-,A,E
0x7c,LD,1,4,,-,-,-,-,A,H
0x7d,LD,1,4,,-,-,-,-,A,L
0x7e,LD,1,8,,-,-,-,-,A,(HL)
0x7f,LD,1,4,,-,-,-,-,A,A
0x80,ADD,1,4,,Z,0,H,C,A,B
0x81,ADD,1,4,,Z,0,H,C,A,C
0x82,ADD,1,4,,Z,0,H,C,A,D
0x83,ADD,1,4,,Z,0,H,C,A,E
0x84,ADD,1,4,,Z,0,H,C,A,H
0x85,ADD,1,4,,Z,0,H,C,A,L
0x86,ADD,1,8,,Z,0,H,C,A,(HL)
0x87,ADD,1,4,,Z,0,H,C,A,A
0x88,ADC,1,4,,Z,0,H,C,A,B
0x89,ADC,1,4,,Z,0,H,C,A,C
0x8a,ADC,1,4,,Z,0,H,C,A,D
0x8b,ADC,1,4,,Z,0,H,C,A,E
0x8c,ADC,1,4,,Z,0,H,C,A,H
0x8d,ADC,1,4,,Z,0,H,C,A,L
0x8e,ADC,1,8,,Z,0,H,C,A,(HL)
0x8f,ADC,1,4,,Z,0,H,C,A,A
0x90,SUB,1,4,,Z,1,H,C,B,
0x91,SUB,1,4,,Z,1,H,C,C,
0x92,SUB,1,4,,Z,1,H,C,D,
0x93,SUB,1,4,,Z,1,H,C,E,
0x94,SUB,1,4,,Z,1,H,C,H,
0x95,SUB,1,4,,Z,1,H,C,L,
0x96,SUB,1,8,,Z,1,H,C,(HL),
0x97,SUB,1,4,,Z,1,H,C,A,
0x98,SBC,1,4,,Z,1,H,C,A,B
0x99,SBC,1,4,,Z,1,H,C,A,C
0x9a,SBC,1,4,,Z,1,H,C,A,D
0x9b,SBC,1,4,,Z,1,H,C,A,E
0x9c,SBC,1,4,,Z,1,H,C,A,H
0x9d,SBC,1,4,,Z,1,H,C,A,L
0x9e,SBC,1,8,,Z,1,H,C,A,(HL)
0x9f,SBC,1,4,,Z,1,H,C,A,A
0xa0,AND,1,4,,Z,0,1,0,B,
0xa1,AND,1,4,,Z,0,1,0,C,
0xa2,AND,1,4,,Z,0,1,0,D,
0xa3,AND,1,4,,Z,0,1,0,E,
0xa4,AND,1,4,,Z,0,1,0,H,
0xa5,AND,1,4,,Z,0,1,0,L,
0xa6,AND,1,8,,Z,0,1,0,(HL),
0xa7,AND,1,4,,Z,0,1,0,A,
0xa8,XOR,1,4,,Z,0,0,0,B,
0xa9,XOR,1,4,,Z,0,0,0,C,
0xaa,XOR,1,4,,Z,0,0,0,D,
0xab,XOR,1,4,,Z,0,0,0,E,
0xac,XOR,1,4,,Z,0,0,0,H,
0xad,XOR,1,4,,Z,0,0,0,L,
0xae,XOR,1,8,,Z,0,0,0,(HL),
0xaf,XOR,1,4,,Z,0,0,0,A,
0xb0,OR,1,4,,Z,0,0,0,B,
0xb1,OR,1,4,,Z,0,0,0,C,
0xb2,OR,1,4,,Z,0,0,0,D,
0xb3,OR,1,4,,Z,0,0,0,E,
0xb4,OR,1,4,,Z,0,0,0,H,
0xb5,OR,1,4,,Z,0,0,0,L,
0xb6,OR,1,8,,Z,0,0,0,(HL),
0xb7,OR,1,4,,Z,0,0,0,A,
0xb8,CP,1,4,,Z,1,H,C,B,
0xb9,CP,1,4,,Z,1,H,C,C,
0xba,CP,1,4,,Z,1,H,C,D,
0xbb,CP,1,4,,Z,1,H,C,E,
